book_id,genre
121264,Westerns
121264,Fiction
121264,Classics
121264,Historical
121264,Historical Fiction
1659362,Thriller
1659362,Mystery
1659362,Detective
1659362,Fiction
2854141,Fiction
2854141,Thriller
2854141,Feminism
2854141,Mystery
2854141,Crime
2854141,Novels
674989,Mystery
674989,Crime
674989,Fiction
674989,Noir
674989,Novels
104047,Fiction
104047,Horror
104047,Westerns
104047,Literary Fiction
6046868,Science Fiction
6046868,Fiction
6046868,Cultural
6046868,Russia
6046868,Literature
6046868,Russian Literature
1024750,Mystery
1024750,Fiction
1024750,Crime
1024750,War
1024750,World War II
1024750,Thriller
1024750,Mystery Thriller
309043,Romance
309043,Historical
309043,Historical Fiction
309043,Fiction
309043,Cultural
309043,France
234225,Science Fiction
234225,Fiction
234225,Fantasy
234225,Classics
234225,Science Fiction Fantasy
234225,Space
234225,Space Opera
234225,Novels
234225,Audiobook
234225,Adventure
234225,Speculative Fiction
17881175,Cultural
17881175,France
17881175,History
17881175,War
17881175,World War II
17881175,European Literature
17881175,French Literature
124918,Fiction
124918,Thriller
124918,Suspense
124918,Adventure
124918,Novels
629845,Fiction
629845,Horror
629845,Gothic
629845,Thriller
629845,Mystery
10315853,Fiction
10315853,Westerns
10315853,Romance
10315853,Western Romance
12995,Fiction
12995,Classics
12995,Literature
4011730,Fiction
4011730,Science Fiction
4011730,Dystopia
4011730,Horror
4011730,Young Adult
4011730,Thriller
15767159,Cultural
15767159,Italy
77544,Fiction
77544,Mystery
77544,Young Adult
77544,Contemporary
77544,Fantasy
77544,Crime
77544,Adult
77544,Adult Fiction
77544,Drama
77544,Novels
6041861,Historical
6041861,Historical Fiction
6041861,War
6041861,Military Fiction
1123566,Westerns
1123566,Fiction
3392668,Horror
3392668,Fiction
3392668,Asian Literature
3392668,Japanese Literature
3392668,Cultural
3392668,Japan
3392668,Thriller
3392668,Mystery
1784015,Aviation
1784015,Fiction
1784015,Historical
1784015,Historical Fiction
37435,Fiction
37435,Historical
37435,Historical Fiction
37435,Young Adult
37435,Adult Fiction
765811,Fiction
765811,Short Stories
765811,Cultural
765811,African American
765811,Classics
765811,Historical
765811,Historical Fiction
765811,Contemporary
53673,History
53673,Nonfiction
53673,Religion
53673,Classics
156427,Horror
156427,Classics
156427,Fiction
156427,Thriller
156427,Mystery
156427,Crime
2008756,Fiction
2008756,Historical
2008756,Historical Fiction
2008756,Classics
2008756,Novels
2008756,Literature
1755883,Fiction
1755883,Historical
1755883,Historical Fiction
1755883,Classics
1589604,Horror
1589604,Fiction
1589604,Paranormal
1589604,Vampires
1589604,Fantasy
139888,Classics
139888,Fiction
139888,Historical
139888,Historical Fiction
139888,European Literature
139888,British Literature
139888,Literature
139888,19th Century
139888,Novels
6062175,Fiction
6062175,Fantasy
6062175,Romance
6062175,Horror
6062175,Science Fiction
74049,Fiction
74049,Classics
74049,Literature
74049,American
87964,Fiction
87964,Thriller
87964,Mystery
87964,Legal Thriller
31548,Classics
31548,Fiction
31548,Literature
152052,Fiction
152052,Mystery
152052,Noir
152052,Classics
152052,Crime
303428,Fiction
303428,Adventure
303428,Thriller
303428,Historical
303428,Historical Fiction
303428,Action
548158,Young Adult
548158,Fiction
548158,Childrens
548158,Juvenile
548158,Adult
438072,Fiction
438072,Thriller
438072,Spy Thriller
438072,Espionage
275759,Fiction
275759,Thriller
275759,Spy Thriller
275759,Espionage
275759,Mystery
2770004,Fiction
2770004,Contemporary
2770004,Humor
77390,Classics
77390,Fiction
77390,Young Adult
77390,Historical
77390,Historical Fiction
77390,Childrens
77390,Cultural
77390,Canada
77390,Romance
77390,Audiobook
77390,Middle Grade
333715,Horror
333715,Fantasy
333715,Paranormal
333715,Vampires
333715,Fiction
123543,Fiction
123543,Thriller
123543,Mystery
123543,Spy Thriller
123543,Espionage
52663,Fiction
52663,Classics
52663,American
52663,Southern
52663,Young Adult
52663,Coming Of Age
52663,Novels
1144074,Science Fiction
1144074,Fiction
128518,Classics
128518,Fiction
128518,Short Stories
128518,Childrens
128518,Fantasy
128518,Animals
128518,Adventure
128518,Cultural
128518,India
128518,Literature
128518,Audiobook
50051,Fiction
50051,Classics
50051,Young Adult
50051,Coming Of Age
50051,Literature
50051,Westerns
14334,Christian
14334,Fiction
14334,Christian Fiction
14334,Religion
14334,Inspirational
14334,Christianity
122211,Fiction
122211,Cultural
122211,African American
122211,Romance
50976,Fiction
50976,Cultural
50976,Africa
1570937,Fiction
1122715,Horror
1122715,Fiction
1122715,Science Fiction
1122715,Classics
1122715,Thriller
1122715,Mystery
1656001,Young Adult
1656001,Science Fiction
1656001,Fantasy
1656001,Romance
1656001,Fiction
12658,Historical
12658,Historical Fiction
12658,Fiction
12658,Classics
26874180,Sequential Art
26874180,Manga
26874180,Fiction
26874180,Science Fiction
26874180,Cultural
26874180,Japan
26874180,Fantasy
26874180,Time Travel
26874180,Young Adult
20178265,Historical
20178265,Historical Fiction
20178265,Christianity
20178265,Lds
20178265,Lds Fiction
20178265,Religion
20178265,Fiction
1284085,Historical
1284085,Historical Fiction
1284085,Classics
1284085,Fiction
1284085,Cultural
1284085,Asia
1284085,Adult
1284085,Biography Memoir
1284085,Literature
1284085,Asian Literature
1284085,Audiobook
1284085,Romance
895163,Fiction
895163,Classics
895163,Education
1191620,Science Fiction
1191620,Fiction
762598,Fiction
762598,Mystery
762598,Crime
762598,New York
762598,Classics
55749,Childrens
55749,Picture Books
55749,Fantasy
55749,Science Fiction
55749,Fiction
647121,Fiction
647121,Classics
647121,European Literature
647121,British Literature
647121,Historical
647121,Historical Fiction
52357,Classics
52357,Poetry
52357,Fiction
52357,Fantasy
52357,Literature
52357,Academic
52357,School
473850,Science Fiction
473850,Fiction
473850,Dystopia
473850,Classics
473850,Science Fiction Fantasy
473850,Mystery
473850,Apocalyptic
473850,Post Apocalyptic
473850,Speculative Fiction
473850,Novels
473850,Thriller
