,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
180,Anna Karenina,1873,Leo Tolstoy,Love,1927,Love 1927,0
181,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1935,Anna Karenina 1935,70881
182,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1948,Anna Karenina 1948,32066
183,Anna Karenina,1873,Leo Tolstoy,Nahr al-Hob,0,Nahr al-Hob 0,0
184,Anna Karenina,1873,Leo Tolstoy,River of Love,1960,River of Love 1960,0
185,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1967,Anna Karenina 1967,147009
186,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1974,Anna Karenina 1974,0
187,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1985,Anna Karenina 1985,220343
188,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1997,Anna Karenina 1997,50512
189,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,2005,Anna Karenina 2005,0
190,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,2012,Anna Karenina 2012,96724
191,Anna to the Infinite Power,1979,Mildred Ames,Anna to the Infinite Power,1983,Anna to the Infinite Power 1983,110739
192,Anne of Avonlea,1909,Lucy Maud Montgomery,Anne of Avonlea,1975,Anne of Avonlea 1975,0
193,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Avonlea,1975,Anne of Avonlea 1975,0
194,Anne of Avonlea,1909,Lucy Maud Montgomery,Anne of Avonlea,1987,Anne of Avonlea 1987,0
195,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Avonlea,1987,Anne of Avonlea 1987,0
196,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1919,Anne of Green Gables 1919,148100
197,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1934,Anne of Green Gables 1934,43901
198,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Windy Poplars,1940,Anne of Windy Poplars 1940,115112
