,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
180,Anna Karenina,1873,Leo Tolstoy,Love,1927,Love 1927,,
181,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1935,Anna Karenina 1935,70881,1935
182,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1948,Anna Karenina 1948,32066,1948
183,Anna Karenina,1873,Leo Tolstoy,Nahr al-Hob,0,Nahr al-Hob 0,,
184,Anna Karenina,1873,Leo Tolstoy,River of Love,1960,River of Love 1960,,
185,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1967,Anna Karenina 1967,147009,1967
186,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1974,Anna Karenina 1974,,
187,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1985,Anna Karenina 1985,220343,1985
188,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,1997,Anna Karenina 1997,50512,1997
189,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,2005,Anna Karenina 2005,,
190,Anna Karenina,1873,Leo Tolstoy,Anna Karenina,2012,Anna Karenina 2012,96724,2012
191,Anna to the Infinite Power,1979,Mildred Ames,Anna to the Infinite Power,1983,Anna to the Infinite Power 1983,110739,1983
192,Anne of Avonlea,1909,Lucy Maud Montgomery,Anne of Avonlea,1975,Anne of Avonlea 1975,,
193,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Avonlea,1975,Anne of Avonlea 1975,,
194,Anne of Avonlea,1909,Lucy Maud Montgomery,Anne of Avonlea,1987,Anne of Avonlea 1987,,
195,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Avonlea,1987,Anne of Avonlea 1987,,
196,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1919,Anne of Green Gables 1919,148100,1919
197,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1934,Anne of Green Gables 1934,43901,1934
198,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Windy Poplars,1940,Anne of Windy Poplars 1940,115112,1940
199,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1956,Anne of Green Gables 1956,,
200,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1972,Anne of Green Gables 1972,,
201,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1985,Anne of Green Gables 1985,17663,1985
202,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables: The Continuing Story,2000,Anne of Green Gables: The Continuing Story 2000,570811,2000
203,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables: A New Beginning,2009,Anne of Green Gables: A New Beginning 2009,,
204,L'Année des méduses,1983,Christopher Frank,L'Année des méduses,0,L'Année des méduses 0,,
205,L'Année des méduses,1983,Christopher Frank,Year of the Jellyfish,1984,Year of the Jellyfish 1984,25290,1984
206,The Anointed,1937,Clyde Brion Davis,Adventure,1945,Adventure 1945,,
207,The Antagonists,1971,Ernest K. Gann,Masada,1987,Masada 1987,,
208,Anthony Adverse,1933,Hervey Allen,Anthony Adverse,1936,Anthony Adverse 1936,37658,1936
209,Antikiller,1999,,Antikiller,2002,Antikiller 2002,41955,2002
210,Antonieta,1978,Andrés Henestrosa,Antonieta,1982,Antonieta 1982,37187,1982
211,Apache Rising,1957,Marvin H. Albert,Duel at Diablo,1966,Duel at Diablo 1966,1403,1966
212,A Job for Jenny,,Faith Baldwin,Apartment for Peggy,1948,Apartment for Peggy 1948,218212,1948
213,The Apocalypse Watch,1995,Robert Ludlum,The Apocalypse Watch,1997,The Apocalypse Watch 1997,30832,1997
214,The Apple Dumpling Gang,1971,Jack Bickham,The Apple Dumpling Gang,1975,The Apple Dumpling Gang 1975,18660,1975
215,The Apple Dumpling Gang,1971,Jack Bickham,The Apple Dumpling Gang Rides Again,1979,The Apple Dumpling Gang Rides Again 1979,22328,1979
216,The Apple Dumpling Gang,1971,Jack Bickham,Tales from the Apple Dumpling Gang,1982,Tales from the Apple Dumpling Gang 1982,,
217,Appointment with Death,1938,Agatha Christie,Appointment with Death,1988,Appointment with Death 1988,4281,1988
218,Appointment with Venus,1951,Jerrard Tickell,Appointment with Venus,1951,Appointment with Venus 1951,140429,1951
219,The Apprenticeship of Duddy Kravitz,1959,Mordecai Richler,The Apprenticeship of Duddy Kravitz,1974,The Apprenticeship of Duddy Kravitz 1974,42451,1974
220,Armageddon 2419 A.D.,1929,,Buck Rogers,1939,Buck Rogers 1939,248001,1939
221,Armageddon 2419 A.D.,1929,,Buck Rogers in the 25th Century,1979,Buck Rogers in the 25th Century 1979,3786,1979
222,L'Armée des ombres,1943,Joseph Kessel,L'Armée des ombres,0,L'Armée des ombres 0,,
